source_name,samplename,STRAIN_TYPE,species ,org_id_abbr,sex_type,cellid,test_type,Biological.Replicate,inividual_id,Technical.Replicate,drugid,drugmatrix.drugid,Comment.chEMBL.ID,Control,Sample.Match,concentration ,dose_level,Dose.Unit,Dose.Duration.inDays,Dose.Duration.Unit,duration,Treatment.Group.,Accession.Number.7,Vehicle,batchid,chiptype,xptype,celfilename,organ_id
1-naphthyl isothiocyanate_0.67_166.67_1,93519,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,1-Naphthyl Isothiocyanate,1-naphthyl isothiocyanate,CHEMBL1381098,FALSE,control_0.67,166.67,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93519.CEL,Liver
1-naphthyl isothiocyanate_0.67_166.67_2,93746,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,1-Naphthyl Isothiocyanate,1-naphthyl isothiocyanate,CHEMBL1381098,FALSE,control_0.67,166.67,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93746.CEL,Liver
1-naphthyl isothiocyanate_0.67_166.67_3,93935,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,1-Naphthyl Isothiocyanate,1-naphthyl isothiocyanate,CHEMBL1381098,FALSE,control_0.67,166.67,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93935.CEL,Liver
1-naphthyl isothiocyanate_1_166.67_1,93520,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,1-Naphthyl Isothiocyanate,1-naphthyl isothiocyanate,CHEMBL1381098,FALSE,control_1,166.67,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93520.CEL,Liver
1-naphthyl isothiocyanate_1_166.67_2,93722,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,1-Naphthyl Isothiocyanate,1-naphthyl isothiocyanate,CHEMBL1381098,FALSE,control_1,166.67,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93722.CEL,Liver
1-naphthyl isothiocyanate_1_166.67_3,93749,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,1-Naphthyl Isothiocyanate,1-naphthyl isothiocyanate,CHEMBL1381098,FALSE,control_1,166.67,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93749.CEL,Liver
3-methylcholanthrene_0.67_23_1,93027,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,3-Methylcholanthrene,3-methylcholanthrene,CHEMBL40583,FALSE,control_0.67,23,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93027.CEL,Liver
3-methylcholanthrene_0.67_23_2,93133,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,3-Methylcholanthrene,3-methylcholanthrene,CHEMBL40583,FALSE,control_0.67,23,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93133.CEL,Liver
3-methylcholanthrene_0.67_23_3,93232,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,3-Methylcholanthrene,3-methylcholanthrene,CHEMBL40583,FALSE,control_0.67,23,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93232.CEL,Liver
3-methylcholanthrene_1_23_1,93020,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,3-Methylcholanthrene,3-methylcholanthrene,CHEMBL40583,FALSE,control_1,23,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93020.CEL,Liver
3-methylcholanthrene_1_23_2,93135,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,3-Methylcholanthrene,3-methylcholanthrene,CHEMBL40583,FALSE,control_1,23,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93135.CEL,Liver
3-methylcholanthrene_1_23_3,93239,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,3-Methylcholanthrene,3-methylcholanthrene,CHEMBL40583,FALSE,control_1,23,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93239.CEL,Liver
