Source.Name	Characteristics.Subject.ID.	Characteristics.Strain.	Characteristics.Organism.	Term.Source.REF	Term.Accession.Number	Characteristics.Sex.	Factor.Value.Age.	Characteristics.AgeUnit.	Term.Source.REF.1	Term.Accession.Number.1	Characteristics.Organ.	Term.Source.REF.2	Term.Accession.Number.2	Characteristics.Tissue.	Term.Source.REF.3	Term.Accession.Number.3	Characteristics.Cell.	Term.Source.REF.4	Term.Accession.Number.4	Characteristics.Assay.Type.	Characteristics.Biological.Replicate.	Characteristics.Technical.Replicate.	Factor.Value.Compound.	Term.Source.REF.5	Term.Accession.Number.5	Characteristics.StdInChIKey.	Comment.chEMBL.ID.	Characteristics.Eniantiomer.	Characteristics.Compound.Class.	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Term.Source.REF.6	Term.Accession.Number.6	Factor.Value.Dose.Duration.	Characteristics.Dose.DurationUnit.	Term.Source.REF.7	Term.Accession.Number.7	Factor.Value.Dose.Frequency.	Characteristics.Vehicle.	Characteristics.Route.	Term.Source.REF.8	Term.Accession.Number.8	Factor.Value.Sample.TimePoint.	Characteristics.Sample.TimePointUnit.	Term.Source.REF.9	Term.Accession.Number.9	Characteristics.Treatment.Group.	Protocol.REF	Sample.Name
1-naphthyl isothiocyanate_0.67_166.67_1	93519	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	1-naphthyl isothiocyanate	CHEBI	35455	JBDOSUUXMYMWQH-UHFFFAOYSA-N	CHEMBL1381098	NA	NA	FALSE	control_0.67	166.67	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	1-naphthyl isothiocyanate_0.67_166.67_1
1-naphthyl isothiocyanate_0.67_166.67_2	93746	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	1-naphthyl isothiocyanate	CHEBI	35455	JBDOSUUXMYMWQH-UHFFFAOYSA-N	CHEMBL1381098	NA	NA	FALSE	control_0.67	166.67	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	1-naphthyl isothiocyanate_0.67_166.67_2
1-naphthyl isothiocyanate_0.67_166.67_3	93935	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	1-naphthyl isothiocyanate	CHEBI	35455	JBDOSUUXMYMWQH-UHFFFAOYSA-N	CHEMBL1381098	NA	NA	FALSE	control_0.67	166.67	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	1-naphthyl isothiocyanate_0.67_166.67_3
1-naphthyl isothiocyanate_1_166.67_1	93520	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	1-naphthyl isothiocyanate	CHEBI	35455	JBDOSUUXMYMWQH-UHFFFAOYSA-N	CHEMBL1381098	NA	NA	FALSE	control_1	166.67	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	1-naphthyl isothiocyanate_1_166.67_1
1-naphthyl isothiocyanate_1_166.67_2	93722	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	1-naphthyl isothiocyanate	CHEBI	35455	JBDOSUUXMYMWQH-UHFFFAOYSA-N	CHEMBL1381098	NA	NA	FALSE	control_1	166.67	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	1-naphthyl isothiocyanate_1_166.67_2
1-naphthyl isothiocyanate_1_166.67_3	93749	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	1-naphthyl isothiocyanate	CHEBI	35455	JBDOSUUXMYMWQH-UHFFFAOYSA-N	CHEMBL1381098	NA	NA	FALSE	control_1	166.67	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	1-naphthyl isothiocyanate_1_166.67_3
3-methylcholanthrene_0.67_23_1	93027	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	3-methylcholanthrene	CHEBI	34342	PPQNQXQZIWHJRB-UHFFFAOYSA-N	CHEMBL40583	NA	NA	FALSE	control_0.67	23	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	3-methylcholanthrene_0.67_23_1
3-methylcholanthrene_0.67_23_2	93133	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	3-methylcholanthrene	CHEBI	34342	PPQNQXQZIWHJRB-UHFFFAOYSA-N	CHEMBL40583	NA	NA	FALSE	control_0.67	23	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	3-methylcholanthrene_0.67_23_2
3-methylcholanthrene_0.67_23_3	93232	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	3-methylcholanthrene	CHEBI	34342	PPQNQXQZIWHJRB-UHFFFAOYSA-N	CHEMBL40583	NA	NA	FALSE	control_0.67	23	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	3-methylcholanthrene_0.67_23_3
3-methylcholanthrene_1_23_1	93020	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	3-methylcholanthrene	CHEBI	34342	PPQNQXQZIWHJRB-UHFFFAOYSA-N	CHEMBL40583	NA	NA	FALSE	control_1	23	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	3-methylcholanthrene_1_23_1
3-methylcholanthrene_1_23_2	93135	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	3-methylcholanthrene	CHEBI	34342	PPQNQXQZIWHJRB-UHFFFAOYSA-N	CHEMBL40583	NA	NA	FALSE	control_1	23	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	3-methylcholanthrene_1_23_2
3-methylcholanthrene_1_23_3	93239	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	3-methylcholanthrene	CHEBI	34342	PPQNQXQZIWHJRB-UHFFFAOYSA-N	CHEMBL40583	NA	NA	FALSE	control_1	23	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	3-methylcholanthrene_1_23_3
"4,4'-diethylaminoethoxyhexestrol_0.67_20_1"	93383	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	coralgil			UBDWKOZBPSKHMO-UHFFFAOYSA-N	CHEMBL1615358	NA	NA	FALSE	control_0.67	20	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	"4,4'-diethylaminoethoxyhexestrol_0.67_20_1"
"4,4'-diethylaminoethoxyhexestrol_0.67_20_2"	93444	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	coralgil			UBDWKOZBPSKHMO-UHFFFAOYSA-N	CHEMBL1615358	NA	NA	FALSE	control_0.67	20	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	"4,4'-diethylaminoethoxyhexestrol_0.67_20_2"
"4,4'-diethylaminoethoxyhexestrol_0.67_20_3"	93504	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	coralgil			UBDWKOZBPSKHMO-UHFFFAOYSA-N	CHEMBL1615358	NA	NA	FALSE	control_0.67	20	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	"4,4'-diethylaminoethoxyhexestrol_0.67_20_3"
"4,4'-diethylaminoethoxyhexestrol_1_20_1"	93350	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	coralgil			UBDWKOZBPSKHMO-UHFFFAOYSA-N	CHEMBL1615358	NA	NA	FALSE	control_1	20	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	"4,4'-diethylaminoethoxyhexestrol_1_20_1"
"4,4'-diethylaminoethoxyhexestrol_1_20_2"	93445	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	coralgil			UBDWKOZBPSKHMO-UHFFFAOYSA-N	CHEMBL1615358	NA	NA	FALSE	control_1	20	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	"4,4'-diethylaminoethoxyhexestrol_1_20_2"
"4,4'-diethylaminoethoxyhexestrol_1_20_3"	93502	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	coralgil			UBDWKOZBPSKHMO-UHFFFAOYSA-N	CHEMBL1615358	NA	NA	FALSE	control_1	20	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	"4,4'-diethylaminoethoxyhexestrol_1_20_3"
"4,4'-methylenedianiline_0.67_296_1"	93517	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	"4,4'-diaminodiphenylmethane"	CHEBI	32506	YBRVSVVVWCFQMG-UHFFFAOYSA-N	CHEMBL85728	NA	NA	FALSE	control_0.67	296	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	"4,4'-methylenedianiline_0.67_296_1"
